drug1;drug2
ethynodiol_diacetate;bexarotene
ethynodiol_diacetate;colesevelam
ethynodiol_diacetate;thiopental
ethynodiol_diacetate;tretinoin
ethynodiol_diacetate;warfarin
gliclazide;acebutolol
gliclazide;acetylsalicylic_acid
gliclazide;atenolol
gliclazide;betaxolol
gliclazide;bevantolol
gliclazide;bismuth_subsalicylate
gliclazide;bisoprolol
gliclazide;carteolol
gliclazide;carvedilol
gliclazide;chloramphenicol
gliclazide;clofibrate
gliclazide;dicumarol
gliclazide;esmolol
gliclazide;glucosamine
gliclazide;labetalol
gliclazide;magnesium_salicylate
gliclazide;metoprolol
gliclazide;nadolol
gliclazide;oxprenolol
gliclazide;penbutolol
gliclazide;phenylbutazone
gliclazide;pindolol
gliclazide;practolol
gliclazide;propranolol
gliclazide;rifampin
gliclazide;salicylate-sodium
gliclazide;salsalate
gliclazide;somatropin_recombinant
gliclazide;sotalol
gliclazide;timolol
gliclazide;trisalicylate-choline
pyridostigmine;betamethasone
pyridostigmine;corticotropin
pyridostigmine;cortisone_acetate
pyridostigmine;dexamethasone
pyridostigmine;fludrocortisone
pyridostigmine;hydrocortisone
pyridostigmine;methylprednisolone
pyridostigmine;paramethasone
pyridostigmine;prednisolone
pyridostigmine;prednisone
pyridostigmine;triamcinolone
thiothixene;abarelix
thiothixene;amantadine
thiothixene;amiodarone
thiothixene;amitriptyline
thiothixene;amoxapine
thiothixene;apomorphine
thiothixene;arsenic_trioxide
thiothixene;artemether
thiothixene;bromocriptine
thiothixene;chlorpromazine
thiothixene;ciprofloxacin
thiothixene;cisapride
thiothixene;clarithromycin
thiothixene;clomipramine
thiothixene;dasatinib
thiothixene;desipramine
thiothixene;disopyramide
thiothixene;dofetilide
thiothixene;dolasetron
thiothixene;domperidone
thiothixene;donepezil
thiothixene;doxepin
thiothixene;droperidol
thiothixene;erythromycin
thiothixene;flecainide
thiothixene;fluconazole
thiothixene;fluoxetine
thiothixene;flupenthixol
thiothixene;fluvoxamine
thiothixene;foscarnet
thiothixene;galantamine
thiothixene;gatifloxacin
thiothixene;guanethidine
thiothixene;halofantrine
thiothixene;haloperidol
thiothixene;ibutilide
thiothixene;imipramine
thiothixene;indapamide
thiothixene;isradipine
thiothixene;ketoconazole
thiothixene;lapatinib
thiothixene;levodopa
thiothixene;levofloxacin
thiothixene;lidocaine
thiothixene;loxapine
thiothixene;lumefantrine
thiothixene;maprotiline
thiothixene;mefloquine
thiothixene;mesoridazine
thiothixene;methadone
thiothixene;methoxsalen
thiothixene;mexiletine
thiothixene;moxifloxacin
thiothixene;nilotinib
thiothixene;norfloxacin
thiothixene;nortriptyline
thiothixene;octreotide
thiothixene;ofloxacin
thiothixene;pentamidine
thiothixene;perflutren
thiothixene;pergolide
thiothixene;pimozide
thiothixene;pramipexole
thiothixene;pramlintide
thiothixene;primaquine
thiothixene;probucol
thiothixene;procainamide
thiothixene;propafenone
thiothixene;protriptyline
thiothixene;quetiapine
thiothixene;quinine
thiothixene;ranolazine
thiothixene;risperidone
thiothixene;ropinirole
thiothixene;rotigotine_transdermal_patch
thiothixene;sotalol
thiothixene;sparfloxacin
thiothixene;sunitinib
thiothixene;tacrine
thiothixene;tacrolimus
thiothixene;telithromycin
thiothixene;tetrabenazine
thiothixene;thiabendazole
thiothixene;thioridazine
thiothixene;toremifene
thiothixene;trimethobenzamide
thiothixene;trimipramine
thiothixene;triprolidine
thiothixene;trospium
thiothixene;voriconazole
thiothixene;vorinostat
thiothixene;ziprasidone
thiothixene;zuclopenthixol
cyclobenzaprine;donepezil
cyclobenzaprine;galantamine
cyclobenzaprine;rasagiline
cyclobenzaprine;rivastigmine
cyclobenzaprine;tacrine
cyclobenzaprine;thiabendazole
cyclobenzaprine;tramadol
cyclobenzaprine;tranylcypromine
cyclobenzaprine;triprolidine
cyclobenzaprine;trospium
acetazolamide;acetylsalicylic_acid
acetazolamide;bismuth_subsalicylate
acetazolamide;brinzolamide
acetazolamide;cyclosporine
acetazolamide;memantine
acetazolamide;tobramycin
acetazolamide;topiramate
acetazolamide;treprostinil
acetazolamide;triprolidine
terfenadine;acetophenazine
terfenadine;amiodarone
terfenadine;amitriptyline
terfenadine;amoxapine
terfenadine;amprenavir
terfenadine;aprepitant
terfenadine;bepridil
terfenadine;chlorpromazine
terfenadine;cimetidine
terfenadine;cisapride
terfenadine;clarithromycin
terfenadine;clomipramine
terfenadine;delavirdine
terfenadine;desipramine
terfenadine;diltiazem
terfenadine;disopyramide
terfenadine;doxepin
terfenadine;efavirenz
terfenadine;erythromycin
terfenadine;flecainide
terfenadine;fluconazole
terfenadine;fluoxetine
terfenadine;fluphenazine
terfenadine;fluvoxamine
terfenadine;fosamprenavir
terfenadine;grepafloxacin
terfenadine;imipramine
terfenadine;indinavir
terfenadine;itraconazole
terfenadine;josamycin
terfenadine;ketoconazole
terfenadine;mesoridazine
terfenadine;methdilazine
terfenadine;methotrimeprazine
terfenadine;mexiletine
terfenadine;mibefradil
terfenadine;nefazodone
terfenadine;nelfinavir
terfenadine;nicardipine
terfenadine;nortriptyline
terfenadine;perphenazine
terfenadine;posaconazole
terfenadine;procainamide
terfenadine;prochlorperazine
terfenadine;promazine
terfenadine;promethazine
terfenadine;propafenone
terfenadine;propericiazine
terfenadine;propiomazine
terfenadine;protriptyline
terfenadine;quinidine
terfenadine;quinine
terfenadine;quinupristin
terfenadine;ritonavir
terfenadine;saquinavir
terfenadine;sotalol
terfenadine;sparfloxacin
terfenadine;telithromycin
terfenadine;thiethylperazine
terfenadine;thioridazine
terfenadine;tipranavir
terfenadine;tocainide
terfenadine;trifluoperazine
terfenadine;triflupromazine
terfenadine;trimeprazine
terfenadine;trimipramine
terfenadine;troleandomycin
terfenadine;verapamil
terfenadine;voriconazole
metaraminol;amitriptyline
metaraminol;amoxapine
metaraminol;clomipramine
metaraminol;desipramine
metaraminol;doxepin
metaraminol;guanethidine
metaraminol;imipramine
metaraminol;isocarboxazid
metaraminol;linezolid
metaraminol;methyldopa
metaraminol;midodrine
metaraminol;moclobemide
metaraminol;nortriptyline
metaraminol;phenelzine
metaraminol;rasagiline
metaraminol;reserpine
benzylpenicilloyl_polylysine;carbinoxamine
vitamin_c;deferoxamine
vitamin_c;indinavir
vitamin_a;acitretin
vitamin_a;bexarotene
vitamin_a;isotretinoin
vitamin_a;orlistat
vitamin_a;tretinoin
vitamin_e;amprenavir
vitamin_e;orlistat
ziprasidone;abarelix
ziprasidone;amantadine
ziprasidone;amiodarone
ziprasidone;amitriptyline
ziprasidone;amoxapine
ziprasidone;apomorphine
ziprasidone;arsenic_trioxide
ziprasidone;artemether
ziprasidone;asenapine
ziprasidone;azithromycin
ziprasidone;bromocriptine
ziprasidone;carbamazepine
ziprasidone;chlorpromazine
ziprasidone;cisapride
ziprasidone;citalopram
ziprasidone;clarithromycin
ziprasidone;clomipramine
ziprasidone;dasatinib
ziprasidone;desipramine
ziprasidone;disopyramide
ziprasidone;dofetilide
ziprasidone;dolasetron
ziprasidone;domperidone
ziprasidone;donepezil
ziprasidone;doxepin
ziprasidone;dronedarone
ziprasidone;droperidol
ziprasidone;erythromycin
ziprasidone;escitalopram
ziprasidone;flecainide
ziprasidone;fluconazole
ziprasidone;fluoxetine
ziprasidone;flupenthixol
ziprasidone;foscarnet
ziprasidone;galantamine
ziprasidone;gatifloxacin
ziprasidone;halofantrine
ziprasidone;haloperidol
ziprasidone;ibutilide
ziprasidone;iloperidone
ziprasidone;imipramine
ziprasidone;indapamide
ziprasidone;isradipine
ziprasidone;ketoconazole
ziprasidone;lapatinib
ziprasidone;levodopa
ziprasidone;levofloxacin
ziprasidone;loxapine
ziprasidone;lumefantrine
ziprasidone;maprotiline
ziprasidone;mefloquine
ziprasidone;mesoridazine
ziprasidone;methadone
ziprasidone;methotrimeprazine
ziprasidone;moxifloxacin
ziprasidone;nilotinib
ziprasidone;norfloxacin
ziprasidone;nortriptyline
ziprasidone;octreotide
ziprasidone;pazopanib
ziprasidone;pentamidine
ziprasidone;perflutren
ziprasidone;pergolide
ziprasidone;pimozide
ziprasidone;pramipexole
ziprasidone;probucol
ziprasidone;procainamide
ziprasidone;propafenone
ziprasidone;protriptyline
ziprasidone;quetiapine
ziprasidone;quinidine
ziprasidone;quinine
ziprasidone;ranolazine
ziprasidone;risperidone
ziprasidone;romidepsin
ziprasidone;ropinirole
ziprasidone;rotigotine_transdermal_patch
ziprasidone;sotalol
ziprasidone;sparfloxacin
ziprasidone;sunitinib
ziprasidone;tacrine
ziprasidone;tacrolimus
ziprasidone;telithromycin
ziprasidone;tetrabenazine
ziprasidone;thioridazine
ziprasidone;thiothixene
ziprasidone;toremifene
ziprasidone;trimipramine
ziprasidone;triprolidine
ziprasidone;voriconazole
ziprasidone;vorinostat
ziprasidone;zuclopenthixol
ziprasidone;telavancin
valproic_acid;acetylsalicylic_acid
valproic_acid;carbamazepine
valproic_acid;clarithromycin
valproic_acid;erythromycin
valproic_acid;felbamate
valproic_acid;lamotrigine
valproic_acid;lorazepam
valproic_acid;nimodipine
valproic_acid;rifampin
valproic_acid;telithromycin
valproic_acid;tipranavir
valproic_acid;rufinamide
potassium_chloride;clidinium
potassium_chloride;telmisartan
potassium_chloride;tiotropium
potassium_chloride;tolterodine
potassium_chloride;trandolapril
potassium_chloride;trihexyphenidyl
potassium_chloride;trimethobenzamide
potassium_chloride;trospium
metipranolol;treprostinil
glimepiride;cyclosporine
glimepiride;gemfibrozil
glimepiride;glucosamine
glimepiride;ketoconazole
glimepiride;rifampin
glimepiride;somatropin_recombinant
glimepiride;tolbutamide
pivmecillinam;demeclocycline
pivmecillinam;doxycycline
pivmecillinam;methacycline
pivmecillinam;minocycline
pivmecillinam;oxytetracycline
pivmecillinam;rolitetracycline
pivmecillinam;tetracycline
methylphenobarbital;aminophylline
methylphenobarbital;betamethasone
methylphenobarbital;clomifene
methylphenobarbital;conjugated_estrogens
methylphenobarbital;cyclosporine
methylphenobarbital;delavirdine
methylphenobarbital;dexamethasone
methylphenobarbital;diethylstilbestrol
methylphenobarbital;divalproex_sodium
methylphenobarbital;doxycycline
methylphenobarbital;estradiol
methylphenobarbital;ethinyl_estradiol
methylphenobarbital;felodipine
methylphenobarbital;fludrocortisone
methylphenobarbital;folic_acid
methylphenobarbital;gefitinib
methylphenobarbital;griseofulvin
methylphenobarbital;hydrocortisone
methylphenobarbital;levonorgestrel
methylphenobarbital;medroxyprogesterone
methylphenobarbital;megestrol
methylphenobarbital;methadone
methylphenobarbital;metronidazole
methylphenobarbital;nifedipine
methylphenobarbital;norethindrone
methylphenobarbital;oxtriphylline
methylphenobarbital;prednisolone
methylphenobarbital;prednisone
methylphenobarbital;quinidine
methylphenobarbital;theophylline
methylphenobarbital;triamcinolone
methylphenobarbital;verapamil
pentobarbital;aminophylline
pentobarbital;betamethasone
pentobarbital;clomifene
pentobarbital;conjugated_estrogens
pentobarbital;cyclosporine
pentobarbital;dexamethasone
pentobarbital;diethylstilbestrol
pentobarbital;divalproex_sodium
pentobarbital;doxycycline
pentobarbital;estradiol
pentobarbital;ethinyl_estradiol
pentobarbital;felodipine
pentobarbital;fludrocortisone
pentobarbital;folic_acid
pentobarbital;gefitinib
pentobarbital;griseofulvin
pentobarbital;hydrocortisone
pentobarbital;levonorgestrel
pentobarbital;medroxyprogesterone
pentobarbital;megestrol
pentobarbital;methadone
pentobarbital;metronidazole
pentobarbital;nifedipine
pentobarbital;norethindrone
pentobarbital;oxtriphylline
pentobarbital;prednisolone
pentobarbital;prednisone
pentobarbital;quinidine
pentobarbital;telithromycin
pentobarbital;temsirolimus
pentobarbital;theophylline
pentobarbital;tramadol
pentobarbital;trazodone
pentobarbital;triamcinolone
pentobarbital;trimipramine
pentobarbital;triprolidine
pentobarbital;verapamil
pentobarbital;warfarin
flurazepam;amprenavir
flurazepam;cimetidine
flurazepam;clozapine
flurazepam;ethotoin
flurazepam;fluconazole
flurazepam;fosamprenavir
flurazepam;fosphenytoin
flurazepam;indinavir
flurazepam;itraconazole
flurazepam;kava
flurazepam;ketoconazole
flurazepam;mephenytoin
flurazepam;nelfinavir
flurazepam;omeprazole
flurazepam;phenytoin
flurazepam;ritonavir
flurazepam;saquinavir
flurazepam;telithromycin
flurazepam;tipranavir
flurazepam;triprolidine
flurazepam;voriconazole
gefitinib;acenocoumarol
gefitinib;amobarbital
gefitinib;anisindione
gefitinib;aprobarbital
gefitinib;butabarbital
gefitinib;butalbital
gefitinib;butethal
gefitinib;carbamazepine
gefitinib;clarithromycin
gefitinib;dicumarol
gefitinib;dihydroquinidine_barbiturate
gefitinib;erythromycin
gefitinib;ethotoin
gefitinib;fosphenytoin
gefitinib;heptabarbital
gefitinib;hexobarbital
gefitinib;itraconazole
gefitinib;ketoconazole
gefitinib;mephenytoin
gefitinib;methohexital
gefitinib;methylphenobarbital
gefitinib;pentobarbital
gefitinib;phenobarbital
gefitinib;phenytoin
gefitinib;primidone
gefitinib;quinidine_barbiturate
gefitinib;rifampin
gefitinib;ritonavir
gefitinib;secobarbital
gefitinib;st._john's_wort
gefitinib;talbutal
gefitinib;telithromycin
gefitinib;topotecan
gefitinib;trastuzumab
gefitinib;voriconazole
gefitinib;warfarin
dihydroergotamine;acebutolol
dihydroergotamine;almotriptan
dihydroergotamine;amprenavir
dihydroergotamine;amyl_nitrite
dihydroergotamine;atazanavir
dihydroergotamine;atenolol
dihydroergotamine;betaxolol
dihydroergotamine;bevantolol
dihydroergotamine;bisoprolol
dihydroergotamine;carteolol
dihydroergotamine;carvedilol
dihydroergotamine;clarithromycin
dihydroergotamine;delavirdine
dihydroergotamine;desvenlafaxine
dihydroergotamine;efavirenz
dihydroergotamine;eletriptan
dihydroergotamine;erythrityl_tetranitrate
dihydroergotamine;erythromycin
dihydroergotamine;esmolol
dihydroergotamine;fluconazole
dihydroergotamine;fluoxetine
dihydroergotamine;fluvoxamine
dihydroergotamine;fosamprenavir
dihydroergotamine;frovatriptan
dihydroergotamine;indinavir
dihydroergotamine;isosorbide_dinitrate
dihydroergotamine;isosorbide_mononitrate
dihydroergotamine;itraconazole
dihydroergotamine;josamycin
dihydroergotamine;ketoconazole
dihydroergotamine;labetalol
dihydroergotamine;metoprolol
dihydroergotamine;nadolol
dihydroergotamine;naratriptan
dihydroergotamine;nefazodone
dihydroergotamine;nelfinavir
dihydroergotamine;nitroglycerin
dihydroergotamine;oxprenolol
dihydroergotamine;penbutolol
dihydroergotamine;pentaerythritol_tetranitrate
dihydroergotamine;pindolol
dihydroergotamine;posaconazole
dihydroergotamine;practolol
dihydroergotamine;propranolol
dihydroergotamine;ritonavir
dihydroergotamine;rizatriptan
dihydroergotamine;saquinavir
dihydroergotamine;sibutramine
dihydroergotamine;sotalol
dihydroergotamine;sumatriptan
dihydroergotamine;telithromycin
dihydroergotamine;timolol
dihydroergotamine;tipranavir
dihydroergotamine;tramadol
dihydroergotamine;tranylcypromine
dihydroergotamine;trazodone
dihydroergotamine;trimipramine
dihydroergotamine;troleandomycin
dihydroergotamine;venlafaxine
dihydroergotamine;voriconazole
dihydroergotamine;zileuton
dihydroergotamine;zolmitriptan
chlorpromazine;amphetamine
chlorpromazine;artemether
chlorpromazine;benzphetamine
chlorpromazine;bromocriptine
chlorpromazine;cisapride
chlorpromazine;dexfenfluramine
chlorpromazine;dextroamphetamine
chlorpromazine;diethylpropion
chlorpromazine;donepezil
chlorpromazine;fenfluramine
chlorpromazine;galantamine
chlorpromazine;gatifloxacin
chlorpromazine;grepafloxacin
chlorpromazine;guanethidine
chlorpromazine;levofloxacin
chlorpromazine;lumefantrine
chlorpromazine;mazindol
chlorpromazine;meperidine
chlorpromazine;mesoridazine
chlorpromazine;methamphetamine
chlorpromazine;metrizamide
chlorpromazine;phendimetrazine
chlorpromazine;phenmetrazine
chlorpromazine;phentermine
chlorpromazine;phenylpropanolamine
chlorpromazine;pindolol
chlorpromazine;propranolol
chlorpromazine;rivastigmine
chlorpromazine;sparfloxacin
chlorpromazine;tacrine
chlorpromazine;tacrolimus
chlorpromazine;tamoxifen
chlorpromazine;tamsulosin
chlorpromazine;terbinafine
chlorpromazine;terfenadine
chlorpromazine;tetrabenazine
chlorpromazine;thioridazine
chlorpromazine;thiothixene
chlorpromazine;tolterodine
chlorpromazine;toremifene
chlorpromazine;tramadol
chlorpromazine;trimethobenzamide
chlorpromazine;trimipramine
chlorpromazine;triprolidine
chlorpromazine;trospium
chlorpromazine;venlafaxine
chlorpromazine;vorinostat
chlorpromazine;ziprasidone
chlorpromazine;zuclopenthixol
penciclovir;aluminium
penciclovir;attapulgite
penciclovir;digoxin
penciclovir;iron
penciclovir;kaolin
lapatinib;artemether
lapatinib;lumefantrine
lapatinib;tacrolimus
lapatinib;tamsulosin
lapatinib;telithromycin
lapatinib;thiothixene
lapatinib;tolterodine
lapatinib;topotecan
lapatinib;toremifene
lapatinib;tramadol
lapatinib;trazodone
lapatinib;tretinoin
lapatinib;trimipramine
lapatinib;voriconazole
lapatinib;vorinostat
lapatinib;ziprasidone
lapatinib;zuclopenthixol
acetylcholine;tacrine
latanoprost;bimatoprost
asparaginase;trastuzumab
epinephrine;acebutolol
epinephrine;alseroxylon
epinephrine;amitriptyline
epinephrine;amoxapine
epinephrine;atenolol
epinephrine;betaxolol
epinephrine;bevantolol
epinephrine;bisoprolol
epinephrine;carteolol
epinephrine;carvedilol
epinephrine;clomipramine
epinephrine;deserpidine
epinephrine;desipramine
epinephrine;desvenlafaxine
epinephrine;doxepin
epinephrine;entacapone
epinephrine;ergonovine
epinephrine;esmolol
epinephrine;guanethidine
epinephrine;imipramine
epinephrine;isocarboxazid
epinephrine;labetalol
epinephrine;linezolid
epinephrine;methyldopa
epinephrine;methylergonovine
epinephrine;metoprolol
epinephrine;midodrine
epinephrine;moclobemide
epinephrine;nadolol
epinephrine;nortriptyline
epinephrine;oxprenolol
epinephrine;oxytocin
epinephrine;pargyline
epinephrine;penbutolol
epinephrine;phenelzine
epinephrine;pindolol
epinephrine;practolol
epinephrine;propranolol
epinephrine;protriptyline
epinephrine;rasagiline
epinephrine;reserpine
epinephrine;sotalol
epinephrine;timolol
epinephrine;tranylcypromine
epinephrine;trimipramine
epinephrine;venlafaxine
bevantolol;chlorpropamide
bevantolol;clonidine
bevantolol;dihydroergotamine
bevantolol;disopyramide
bevantolol;epinephrine
bevantolol;ergotamine
bevantolol;fenoterol
bevantolol;formoterol
bevantolol;gliclazide
bevantolol;glyburide
bevantolol;ibuprofen
bevantolol;indomethacin
bevantolol;insulin
bevantolol;insulin_glargine
bevantolol;methysergide
bevantolol;orciprenaline
bevantolol;pipobroman
bevantolol;piroxicam
bevantolol;prazosin
bevantolol;repaglinide
bevantolol;terbutaline
nebivolol;terazosin
nebivolol;treprostinil
udenafil;isosorbide_dinitrate
udenafil;isosorbide_mononitrate
udenafil;nitroglycerin
cyclacillin;demeclocycline
cyclacillin;doxycycline
cyclacillin;ethinyl_estradiol
cyclacillin;minocycline
cyclacillin;tetracycline
demecarium;tacrine
ofloxacin;acenocoumarol
ofloxacin;aluminium
ofloxacin;anisindione
ofloxacin;calcium
ofloxacin;calcium_acetate
ofloxacin;dicumarol
ofloxacin;dihydroquinidine_barbiturate
ofloxacin;foscarnet
ofloxacin;iron
ofloxacin;iron_dextran
ofloxacin;magnesium
ofloxacin;magnesium_oxide
ofloxacin;procainamide
ofloxacin;quinidine
ofloxacin;quinidine_barbiturate
ofloxacin;sucralfate
ofloxacin;tacrine
ofloxacin;thiothixene
ofloxacin;tizanidine
ofloxacin;warfarin
ofloxacin;zinc
praziquantel;carbamazepine
praziquantel;chloroquine
praziquantel;phenytoin
praziquantel;rifampin
praziquantel;telithromycin
praziquantel;voriconazole
bortezomib;clopidogrel
bortezomib;telithromycin
bortezomib;ticlopidine
bortezomib;voriconazole
flucloxacillin;demeclocycline
flucloxacillin;doxycycline
flucloxacillin;ethinyl_estradiol
flucloxacillin;mestranol
flucloxacillin;methacycline
flucloxacillin;methotrexate
flucloxacillin;minocycline
flucloxacillin;oxytetracycline
flucloxacillin;rolitetracycline
flucloxacillin;tetracycline
temozolomide;natalizumab
temozolomide;trastuzumab
esmolol;acetohexamide
esmolol;chlorpropamide
esmolol;clonidine
esmolol;dihydroergotamine
esmolol;dihydroergotoxine
esmolol;disopyramide
esmolol;epinephrine
esmolol;ergonovine
esmolol;ergotamine
esmolol;fenoterol
esmolol;formoterol
esmolol;gliclazide
esmolol;glipizide
esmolol;glisoxepide
esmolol;glyburide
esmolol;glycodiazine
esmolol;ibuprofen
esmolol;indomethacin
esmolol;insulin
esmolol;insulin_aspart
esmolol;insulin_detemir
esmolol;insulin_glargine
esmolol;insulin_glulisine
esmolol;insulin_lispro
esmolol;isoproterenol
esmolol;lidocaine
esmolol;methysergide
esmolol;orciprenaline
esmolol;pipobroman
esmolol;pirbuterol
esmolol;piroxicam
esmolol;prazosin
esmolol;procaterol
esmolol;repaglinide
esmolol;salbutamol
esmolol;salmeterol
esmolol;terazosin
esmolol;terbutaline
esmolol;tolazamide
esmolol;tolbutamide
esmolol;treprostinil
esmolol;verapamil
metoclopramide;cyclosporine
metoclopramide;levodopa
metoclopramide;paliperidone
metoclopramide;tacrolimus
metoclopramide;venlafaxine
metoclopramide;vilazodone
metoclopramide;zuclopenthixol
efalizumab;ergonovine
efalizumab;trastuzumab
levomethadyl_acetate;itraconazole
levomethadyl_acetate;quinupristin
cefprozil;probenecid
phenmetrazine;chlorpromazine
phenmetrazine;fluphenazine
phenmetrazine;guanethidine
phenmetrazine;isocarboxazid
phenmetrazine;mesoridazine
phenmetrazine;methotrimeprazine
phenmetrazine;perphenazine
phenmetrazine;prochlorperazine
phenmetrazine;promethazine
phenmetrazine;propericiazine
phenmetrazine;rasagiline
phenmetrazine;thioridazine
phenmetrazine;trifluoperazine
iron;ciprofloxacin
iron;clodronate
iron;demeclocycline
iron;doxycycline
iron;etidronic_acid
iron;gatifloxacin
iron;gemifloxacin
iron;grepafloxacin
iron;ibandronate
iron;levofloxacin
iron;levothyroxine
iron;methyldopa
iron;minocycline
iron;moxifloxacin
iron;mycophenolate_mofetil
iron;norfloxacin
iron;ofloxacin
iron;penciclovir
iron;tetracycline
iron;trovafloxacin
phencyclidine;telithromycin
phencyclidine;voriconazole
bumetanide;amikacin
bumetanide;cisplatin
bumetanide;colesevelam
bumetanide;deslanoside
bumetanide;digitoxin
bumetanide;digoxin
bumetanide;gentamicin
bumetanide;ginseng
bumetanide;ibuprofen
bumetanide;indomethacin
bumetanide;kanamycin
bumetanide;netilmicin
bumetanide;streptomycin
bumetanide;sulindac
bumetanide;tobramycin
bumetanide;trandolapril
bumetanide;treprostinil
methylphenidate;carbamazepine
methylphenidate;cyclosporine
methylphenidate;guanethidine
methylphenidate;isocarboxazid
methylphenidate;phenelzine
methylphenidate;rasagiline
methylphenidate;trandolapril
methylphenidate;tranylcypromine
cilastatin;cyclosporine
cilastatin;valganciclovir
vorinostat;abarelix
vorinostat;amiodarone
vorinostat;amitriptyline
vorinostat;amoxapine
vorinostat;apomorphine
vorinostat;arsenic_trioxide
vorinostat;artemether
vorinostat;asenapine
vorinostat;azithromycin
vorinostat;chlorpromazine
vorinostat;cisapride
vorinostat;clarithromycin
vorinostat;clomipramine
vorinostat;dasatinib
vorinostat;desipramine
vorinostat;disopyramide
vorinostat;dofetilide
vorinostat;dolasetron
vorinostat;domperidone
vorinostat;doxepin
vorinostat;dronedarone
vorinostat;droperidol
vorinostat;erythromycin
vorinostat;flecainide
vorinostat;fluconazole
vorinostat;fluoxetine
vorinostat;flupenthixol
vorinostat;foscarnet
vorinostat;gatifloxacin
vorinostat;halofantrine
vorinostat;haloperidol
vorinostat;ibutilide
vorinostat;imipramine
vorinostat;indapamide
vorinostat;isradipine
vorinostat;lapatinib
vorinostat;levofloxacin
vorinostat;loxapine
vorinostat;lumefantrine
vorinostat;maprotiline
vorinostat;mefloquine
vorinostat;mesoridazine
vorinostat;methadone
vorinostat;methotrimeprazine
vorinostat;moxifloxacin
vorinostat;nilotinib
vorinostat;norfloxacin
vorinostat;nortriptyline
vorinostat;octreotide
vorinostat;pentamidine
vorinostat;perflutren
vorinostat;pimozide
vorinostat;probucol
vorinostat;procainamide
vorinostat;propafenone
vorinostat;protriptyline
vorinostat;quetiapine
vorinostat;quinidine
vorinostat;quinine
vorinostat;ranolazine
vorinostat;risperidone
vorinostat;sotalol
vorinostat;sparfloxacin
vorinostat;sunitinib
vorinostat;tacrolimus
vorinostat;telithromycin
vorinostat;tetrabenazine
vorinostat;thioridazine
vorinostat;thiothixene
vorinostat;toremifene
vorinostat;trimipramine
vorinostat;voriconazole
vorinostat;ziprasidone
vorinostat;zuclopenthixol
imipramine;altretamine
imipramine;artemether
imipramine;atazanavir
imipramine;butabarbital
imipramine;butalbital
imipramine;carbamazepine
imipramine;cimetidine
imipramine;cisapride
imipramine;clonidine
imipramine;desvenlafaxine
imipramine;dihydroquinidine_barbiturate
imipramine;dobutamine
imipramine;donepezil
imipramine;dopamine
imipramine;duloxetine
imipramine;ephedra
imipramine;ephedrine
imipramine;epinephrine
imipramine;fenoterol
imipramine;fluconazole
imipramine;fluoxetine
imipramine;fluvoxamine
imipramine;galantamine
imipramine;grepafloxacin
imipramine;guanethidine
imipramine;isocarboxazid
imipramine;isoproterenol
imipramine;ketoconazole
imipramine;lumefantrine
imipramine;mephentermine
imipramine;mesoridazine
imipramine;metaraminol
imipramine;methoxamine
imipramine;moclobemide
imipramine;norepinephrine
imipramine;orciprenaline
imipramine;phenelzine
imipramine;phenylephrine
imipramine;phenylpropanolamine
imipramine;pirbuterol
imipramine;procaterol
imipramine;pseudoephedrine
imipramine;quinidine
imipramine;quinidine_barbiturate
imipramine;rasagiline
imipramine;rifabutin
imipramine;rifampin
imipramine;ritonavir
imipramine;rivastigmine
imipramine;salbutamol
imipramine;sibutramine
imipramine;sparfloxacin
imipramine;tacrine
imipramine;tacrolimus
imipramine;tamoxifen
imipramine;tamsulosin
imipramine;terbinafine
imipramine;terbutaline
imipramine;terfenadine
imipramine;thioridazine
imipramine;thiothixene
imipramine;ticlopidine
imipramine;toremifene
imipramine;tramadol
imipramine;tranylcypromine
imipramine;trazodone
imipramine;trimethobenzamide
imipramine;trimipramine
imipramine;triprolidine
imipramine;trospium
imipramine;venlafaxine
imipramine;voriconazole
imipramine;vorinostat
imipramine;ziprasidone
imipramine;zolmitriptan
imipramine;zuclopenthixol
quazepam;cimetidine
quazepam;clozapine
quazepam;fluconazole
quazepam;indinavir
quazepam;itraconazole
quazepam;ketoconazole
quazepam;nelfinavir
quazepam;omeprazole
quazepam;tipranavir
quazepam;triprolidine
clidinium;donepezil
clidinium;galantamine
clidinium;haloperidol
clidinium;potassium_chloride
clidinium;pramlintide
clidinium;secretin
clidinium;tacrine
clidinium;trimethobenzamide
clidinium;triprolidine
clidinium;trospium
interferon_beta-1b;zidovudine
carbamazepine;acenocoumarol
carbamazepine;alprazolam
carbamazepine;aminophylline
carbamazepine;amitriptyline
carbamazepine;anisindione
carbamazepine;aprepitant
carbamazepine;aripiprazole
carbamazepine;atorvastatin
carbamazepine;atracurium
carbamazepine;bupropion
carbamazepine;cimetidine
carbamazepine;clarithromycin
carbamazepine;clozapine
carbamazepine;cyclosporine
carbamazepine;dabigatran_etexilate
carbamazepine;danazol
carbamazepine;delavirdine
carbamazepine;desipramine
carbamazepine;dicumarol
carbamazepine;diltiazem
carbamazepine;divalproex_sodium
carbamazepine;doxacurium_chloride
carbamazepine;doxepin
carbamazepine;doxycycline
carbamazepine;dyphylline
carbamazepine;erythromycin
carbamazepine;ethinyl_estradiol
carbamazepine;felbamate
carbamazepine;felodipine
carbamazepine;fluconazole
carbamazepine;fluoxetine
carbamazepine;fluvoxamine
